,feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,gene
1,MA0030.1,0,-0.0248154398323519,-0.0156027279169398,5026061,0.495514494756838,0.592222118519293,0.610548210134711,100,100,FOXF2
2,MA0031.1,0,0.313141750888532,0.363660272092617,6080952.5,0.599515227864889,1.44480668058748e-32,4.66613586128507e-32,100,100,FOXD1
3,MA0051.1,0,-0.597675061836039,-0.541441195166359,4325241,0.426421328514827,1.54712922416108e-18,3.52277985213656e-18,100,100,IRF2
4,MA0057.1,0,-0.20778058815744,-0.182068157876665,4579280,0.451466787918032,6.81352644369933e-09,1.10588775355428e-08,100,100,MZF1(var.2)
5,MA0059.1,0,-0.3598825202349,-0.354910890396918,4234428,0.417468162643511,6.50145669800524e-23,1.64616883593493e-22,100,100,MAX::MYC
6,MA0066.1,0,-0.651091091216696,-0.675737561889016,3433047,0.338460784634623,6.54693318182059e-83,5.92029814870347e-82,100,100,PPARG
7,MA0069.1,0,-0.229171638047191,-0.184909773488333,4624201,0.455895505878075,1.38963091278852e-07,2.09937080619364e-07,100,100,PAX6
8,MA0070.1,0,0.021991614241393,0.0443833785248777,5241192,0.516724052056587,0.0458195478431528,0.0515164720865289,100,100,PBX1
9,MA0071.1,0,-0.790833171299164,-0.865441574373633,2974360,0.293239276766627,1.37740574806993e-134,1.93755075228503e-133,100,100,RORA
10,MA0072.1,0,-0.589545868412698,-0.651445236961798,3379018,0.333134117760262,2.42958435536363e-88,2.33019226809876e-87,100,100,RORA(var.2)
11,MA0073.1,0,-0.204384612945695,-0.203099432935862,4325428,0.426439764664034,1.57772825113335e-18,3.57957699988319e-18,100,100,RREB1
12,MA0074.1,0,-0.246351682808574,-0.236988188616084,4451867.5,0.438905312726385,2.97657812615742e-13,5.69236844065753e-13,100,100,RXRA::VDR
13,MA0077.1,0,0.0666775912480859,0.0981659474617032,5354135,0.527858993232454,0.000878806227109023,0.0011170368308434,100,100,SOX9
14,MA0084.1,0,0.349283568573519,0.415542266849126,6360016,0.627027828529221,5.70108946162631e-52,3.00732469100788e-51,100,100,SRY
15,MA0091.1,0,-0.361376214875896,-0.337418124607752,4251273,0.41912889490764,4.59112007027876e-22,1.13080895116204e-21,100,100,TAL1::TCF3
16,MA0101.1,0,-2.00725568727759,-2.11651097494514,2119498,0.208959258673567,1.21260123672888e-264,2.84287623277549e-263,100,100,REL
17,MA0107.1,0,-1.85324324749013,-1.92894206895221,2368336,0.233491956515138,2.98228318943217e-222,6.5096043410709e-221,100,100,RELA
18,MA0115.1,0,-0.232360582082407,-0.219484947162346,4514194,0.445050022103661,5.31984202589417e-11,9.43266107112328e-11,100,100,NR1H2::RXRA
19,MA0119.1,0,-0.435298891083285,-0.460037379174691,3959292,0.390342770407043,3.54381707067449e-39,1.39331441350121e-38,100,100,NFIC::TLX1
20,MA0130.1,0,0.00872502231648704,0.0414150971223749,5260594,0.518636876478589,0.0260499263357056,0.0300905170994555,100,100,ZNF354C
21,MA0139.1,0,0.83673851229888,0.970755376504852,7230875,0.712884975386262,1.47472745523964e-142,2.33375619791674e-141,100,100,CTCF
22,MA0149.1,0,0.163660086394116,0.204780119348254,5943729,0.585986495668589,9.83821380361899e-25,2.58406196584681e-24,100,100,EWSR1-FLI1
23,MA0138.2,0,-0.235835164144699,-0.227568718521118,4396003,0.433397685681599,1.81856434782792e-15,3.67779946381813e-15,100,100,REST
24,MA0152.1,0,-0.180410812773953,-0.157761561172303,4685063,0.461895831616241,5.36201589682955e-06,7.55936762292451e-06,100,100,NFATC2
25,MA0155.1,0,-0.193046586404005,-0.174285804385736,4527685,0.446380086750462,1.52480968543208e-10,2.63717084939482e-10,100,100,INSM1
26,MA0159.1,0,-0.280164612066129,-0.262264184284327,4374135,0.431241740703744,2.20128098338843e-16,4.6292719683883e-16,100,100,RARA::RXRA
27,MA0160.1,0,-0.616541123696892,-0.629513207494141,3536647,0.348674608473373,5.48049745170767e-73,3.9875343527942e-72,100,100,NR4A2
28,MA0163.1,0,-0.205941171520927,-0.175725475690223,4516976,0.445324296794003,6.62339563249411e-11,1.16785778143977e-10,100,100,PLAG1
29,MA0259.1,0,0.111295021724114,0.161499650409033,5561250,0.548278260842132,8.16515575241182e-09,1.31850601818283e-08,100,100,ARNT::HIF1A
30,MA0468.1,0,-0.165032777872175,-0.158867982231465,4648657,0.458306599273833,6.40129088023267e-07,9.27235040546289e-07,100,100,DUX4
31,MA0476.1,0,-3.9064028011444,-4.4278092136662,1205777,0.118876388675827,0,0,100,100,FOS
32,MA0478.1,0,-3.76045675559536,-4.25748139129812,1255461.5,0.123774735495483,0,0,100,100,FOSL2
33,MA0479.1,0,-0.0887787130269154,-0.0620171541531388,4972703,0.490253981123749,0.244509618434161,0.264120458137924,100,100,FOXH1
34,MA0488.1,0,-0.9664252611347,-1.07652290572399,2696738.5,0.265868841488158,5.24949029357524e-172,1.0069476835858e-170,100,100,JUN
35,MA0489.1,0,-3.82893583054659,-4.33775146172172,1246979,0.122938454021427,0,0,100,100,JUN(var.2)
36,MA0492.1,0,-0.84974058524721,-0.954355617268739,2867415,0.282695672611848,1.87556558824163e-148,3.04418722399219e-147,100,100,JUND(var.2)
37,MA0497.1,0,-0.253589746494492,-0.205713434644822,4462991,0.440001967837103,7.80721099233329e-13,1.48407344088498e-12,100,100,MEF2C
38,MA0501.1,0,-2.17645665947816,-2.45370661288009,1610705,0.158797848708425,0,0,100,100,MAF::NFE2
39,MA0504.1,0,-0.224467038055639,-0.219157637522228,4337791,0.427658620881394,5.6982967728454e-18,1.27908576496849e-17,100,100,NR2C2
40,MA0506.1,0,0.0209054097220781,0.0488253687293955,5300212,0.522542776795612,0.00710506615102951,0.0085666797592413,100,100,NRF1
41,MA0507.1,0,-0.533428776388086,-0.509121252104658,3907134,0.385200563613785,9.03546422958444e-43,3.97183948425482e-42,100,100,POU2F2
42,MA0513.1,0,-0.399308319332483,-0.399673072953789,4023960,0.396718326005539,6.00912679527959e-35,2.17358700652113e-34,100,100,SMAD2::SMAD3::SMAD4
43,MA0517.1,0,-0.921025191213629,-0.893671495065671,3568330,0.351798204812012,4.41356569970273e-70,3.07009570100201e-69,100,100,STAT1::STAT2
44,MA0523.1,0,0.999518723513082,1.16136280129256,7460808,0.735553847555327,4.45093851364133e-174,9.08852928753214e-173,100,100,TCF7L2
45,MA0527.1,0,-0.0420849125802578,-0.0277403868271825,5000484,0.492992883054872,0.402744258970586,0.425604534104142,100,100,ZBTB33
46,MA0076.2,0,0.0466942982501379,0.0581647294314874,5238557,0.516464269954125,0.0492950650757263,0.0553258443137141,100,100,ELK4
47,MA0258.2,0,-0.602435285293268,-0.616952554831352,3562493,0.351222740625267,1.30000627786031e-70,9.24611206613009e-70,100,100,ESR2
48,MA0050.2,0,-0.683527994493946,-0.645170641888777,3821632,0.376771004097755,5.16052362980974e-49,2.61328916613565e-48,100,100,IRF1
49,MA0137.3,0,-0.4530617350577,-0.487203052707501,4112346,0.405432216293297,1.42828363691919e-29,4.28485091075757e-29,100,100,STAT1
50,MA0144.2,0,-0.330757477197275,-0.343624124222649,4332010.5,0.427088726975024,3.13407558222298e-18,7.0852494412398e-18,100,100,STAT3
51,MA0140.2,0,-0.0718816929958956,-0.0576613191774927,4926178,0.485667126354465,0.0869859502014669,0.0964310095928696,100,100,GATA1::TAL1
52,MA0095.2,0,-0.167950755132312,-0.139256316417909,4704293.5,0.463791748019051,1.53430233390408e-05,2.12028691677423e-05,100,100,YY1
53,MA0593.1,0,0.20338895700474,0.264849858418195,5888632,0.580554535706779,6.63466452471055e-22,1.62780722641154e-21,100,100,FOXP2
54,MA0595.1,0,-0.499620733332919,-0.507577314948354,3829231,0.377520182160985,1.92883989557976e-48,9.69012423731736e-48,100,100,SREBF1
